Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
172791,606657829,G,10.2079,-8.9609,-4.8505,0.604227,10.1895,0.0592645,-2.64546,1,G,28.4649,-24.4968,-13.3417,5.66942,27.8943,0.201872,-2.64288,-1
172791,607694661,G,17.5692,3.90577,-7.92704,-15.1846,8.83702,-1.31006,-1.11299,-1,G,25.3775,4.14859,-14.3963,-20.4827,14.9822,-1.11873,-1.29023,1
172791,608745061,G,6.22956,-4.74343,1.77074,-3.62777,5.06316,-0.666134,2.78431,1,G,7.94989,-3.67786,4.79976,-5.15996,6.04685,-0.773773,2.22462,-1
172791,608392711,G,11.9604,-0.727448,-2.81276,-11.6017,2.90531,-2.09308,-1.82387,-1,G,5.84288,-0.733937,0.972882,-5.71339,1.21867,-2.24938,2.2171,-1
172791,609061282,G,10.8131,-1.79575,-2.12557,-10.4484,2.78259,-2.03349,-2.27228,-1,G,6.64214,-3.12546,-1.84321,-5.56246,3.62849,-1.21293,-2.60875,1
172791,608163647,G,38.0838,-10.3696,-8.4358,-35.6606,13.3675,-1.70777,-2.45867,-1,G,22.1464,-7.70674,-6.34182,-19.7697,9.9806,-1.43502,-2.45305,1
172791,608554895,G,15.8602,-8.63846,-1.41101,13.2258,8.75294,1.20085,-2.97968,1,G,46.1898,-23.4761,-7.52183,39.0613,24.6516,1.24076,-2.83152,-1
172791,608292125,G,5.65696,3.45936,-1.4998,-4.21586,3.77049,-0.962481,-0.409089,-1,T,3.75899,0.304861,0.695804,-3.67992,0.75966,-2.28141,1.15785,1
172791,608273793,G,36.6715,-16.7227,2.21015,-32.5616,16.8681,-1.41205,3.01019,1,T,22.8326,-8.91261,1.61583,-20.9588,9.05789,-1.5758,2.96224,-1
172791,608318896,G,7.68776,-5.43882,-0.689582,5.38835,5.48236,0.869196,-3.01548,-1,T,3.47303,-2.64177,-1.93579,1.15089,3.27509,0.34455,-2.50922,1
172791,608853824,G,19.3121,-4.12214,12.7109,-13.9423,13.3626,-0.911722,1.88439,-1,G,10.8937,-3.24539,9.063,-5.09817,9.62655,-0.507524,1.91466,1
172791,608316131,G,17.0876,-13.2051,-2.43168,-10.5683,13.4271,-0.72255,-2.95949,-1,G,10.5706,-8.44417,-3.3024,-5.433,9.06696,-0.568146,-2.76879,1
172791,609353896,G,13.9859,6.46615,3.47605,-11.9038,7.34126,-1.26032,0.493255,-1,G,17.0421,10.7687,4.00481,-12.5865,11.4893,-0.947314,0.356044,1
172791,609624523,G,31.9941,-14.1411,-5.71376,28.1247,15.2518,1.37162,-2.7576,1,G,16.3205,-6.30109,-4.89013,14.2383,7.97603,1.3432,-2.48161,-1
172791,610412475,G,17.8772,-6.16741,6.19666,15.5932,8.74274,1.34243,2.35383,1,G,36.243,-16.4655,11.431,30.1954,20.0445,1.19832,2.53474,-1
172791,609396298,G,7.00574,-1.18244,-4.1968,-5.48251,4.3602,-1.05221,-1.84542,-1,G,5.30501,-3.48421,-2.38493,-3.21003,4.22227,-0.701336,-2.54135,-1
172791,609649594,G,4.06732,1.56241,3.28771,1.81157,3.64007,0.479129,1.12716,1,G,4.32241,3.93323,1.33777,1.18831,4.15451,0.282265,0.327845,-1
172791,610149421,G,27.1951,-15.6253,-6.32754,21.3396,16.8578,1.05746,-2.75682,1,G,13.1336,-6.36107,-4.84713,10.4174,7.99737,1.08003,-2.49046,-1
172791,609691620,G,23.0984,14.7654,-5.51516,-16.8846,15.7618,-0.930858,-0.357471,-1,G,12.3897,9.0839,-3.09202,-7.83675,9.59572,-0.74565,-0.328083,1
172791,610336836,G,5.90568,-2.40695,-1.14187,5.26959,2.66407,1.43376,-2.69863,-1,T,11.0755,0.818141,-2.84788,10.6713,2.96307,1.99322,-1.29105,1
172791,609777102,G,24.1944,-10.5205,12.7314,17.6802,16.5157,0.930363,2.26139,1,G,13.986,-6.17138,9.07273,8.67166,10.9727,0.72507,2.16812,-1
172791,609515521,G,11.5754,1.74683,4.64869,-10.4555,4.96606,-1.4898,1.21135,1,G,11.1362,0.876394,7.16492,-8.47934,7.21832,-0.999673,1.44908,-1
172791,609803101,G,7.5388,-0.874425,-1.73764,-7.28274,1.94526,-2.03064,-2.03702,-1,G,6.56585,1.78086,0.188108,-6.31604,1.79077,-1.97311,0.105237,1
172791,609886037,G,14.8067,14.2387,-4.04523,-0.349664,14.8022,-0.0236202,-0.276807,-1,G,14.1633,12.9098,-4.98202,-3.01739,13.8378,-0.216363,-0.3683,1
172791,609740586,G,15.8294,-9.27451,-5.88498,11.3977,10.9841,0.907755,-2.57617,-1,G,25.05,-15.4609,-12.1318,15.533,19.6525,0.725143,-2.47627,1
172791,609873034,G,38.9933,-21.3414,9.14668,-31.3265,23.2189,-1.10809,2.73669,1,G,13.48,-8.81108,2.49296,-9.89193,9.15696,-0.937005,2.86586,-1
172791,610092987,G,11.1461,-0.924614,11.0945,0.530536,11.133,0.0476365,1.65394,1,G,17.8062,-3.62644,17.3984,-1.09211,17.7723,-0.0614115,1.77629,-1
172791,610572395,G,21.6179,5.51988,5.83294,-20.0706,8.0307,-1.64695,0.812967,1,G,8.52211,3.18856,3.69354,-6.98613,4.87946,-1.15629,0.858643,-1
172791,609765182,G,18.1564,0.661175,-16.271,-8.02876,16.2845,-0.474971,-1.53018,-1,T,16.8078,3.01856,-13.4228,-9.65432,13.7581,-0.654076,-1.34959,1
172791,610696314,G,31.7058,-23.7727,-2.11368,-20.872,23.8664,-0.789817,-3.05291,1,G,20.8097,-16.2546,-3.42429,-12.5338,16.6113,-0.696771,-2.93396,-1
172791,610887013,G,32.9634,13.1381,2.62056,30.118,13.3969,1.5494,0.196878,1,G,18.9672,8.08559,3.69061,16.7555,8.88804,1.39107,0.428199,-1
172791,611249365,G,10.8839,7.82461,-2.47867,7.14697,8.20782,0.786967,-0.306777,1,G,35.4837,26.8822,-2.59468,23.015,27.0072,0.772899,-0.0962223,-1
